INSTURCTION TYPE,PC,INSTRUCTION,IMMEDIATE,FUNCT7,RS2,RS1,FUNCT3,RD,OPCODE,BRANCH,MEMREAD,MEMTOREG,MEMWRITE,ALUOP,REGW,ALUOPCODE,ALUSRC,DATA1OUT,DATA2OUT,DATA2IN,C,Z,ALUOUT,ADDR,WRDATAMEM,MEMOUT,WRDATAREG, REG5,REG6, REG7, REG8, REG9, REG18, REG19, REG20, REG21, REG22, REG23, REG24,REG25, REG26, REG27, REG28, REG29, REG30, REG31
ld-type,00000,00000000001000000011001010000011,00000000000000000000000000000010,0000000,00000,00000,011,00101,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,00001,00000000001000000011001100000011,00000000000000000000000000000010,0000000,00000,00000,011,00110,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,00010,00000000001000000011001110000011,00000000000000000000000000000010,0000000,00000,00000,011,00111,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,00011,00000000001000000011010000000011,00000000000000000000000000000010,0000000,00000,00000,011,01000,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,00100,00000000001000000011010010000011,00000000000000000000000000000010,0000000,00000,00000,011,01001,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,00101,00000000001000000011100100000011,00000000000000000000000000000010,0000000,00000,00000,011,10010,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,00110,00000000001000000011100110000011,00000000000000000000000000000010,0000000,00000,00000,011,10011,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,00111,00000000001000000011101000000011,00000000000000000000000000000010,0000000,00000,00000,011,10100,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,01000,00000000001000000011101010000011,00000000000000000000000000000010,0000000,00000,00000,011,10101,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,01001,00000000001000000011101100000011,00000000000000000000000000000010,0000000,00000,00000,011,10110,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,01010,00000000001000000011101110000011,00000000000000000000000000000010,0000000,00000,00000,011,10111,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,01011,00000000001000000011110000000011,00000000000000000000000000000010,0000000,00000,00000,011,11000,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,01100,00000000001000000011110010000011,00000000000000000000000000000010,0000000,00000,00000,011,11001,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,01101,00000000001000000011110100000011,00000000000000000000000000000010,0000000,00000,00000,011,11010,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,01110,00000000001000000011110110000011,00000000000000000000000000000010,0000000,00000,00000,011,11011,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,01111,00000000001000000011111000000011,00000000000000000000000000000010,0000000,00000,00000,011,11100,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,10000,00000000001000000011111010000011,00000000000000000000000000000010,0000000,00000,00000,011,11101,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
ld-type,10001,00000000001000000011111100000011,00000000000000000000000000000010,0000000,00000,00000,011,11110,0000011,0,1,1,0,00,1,0000,1,,,IMMEDIATE,,,,ALUOUT[7downto0],DATA2OUT,,MEMOUT,,,,,,,,,,,,,,,,,,,
